APPLICATION	TruckMaker 14.0 - Truck_Generic #2 (win64-14.0)
COMPILED	jetbrains@b5882e3d7d42 2024-11-26 13:07:28
 
		I/O Configuration: default
FIRST_INIT	(internal default used)	2025-03-07 16:51:09
TIME	0.000
SIM_END			0s	0m
IDLE	16:51:10
TIME	6.962
SIM_START	TempScenario(Volvo)	2025-03-07 16:52:20
TIME	0.000
SIMULATE	TempScenario(Volvo)

TIME	43.000
		Vel=41.0545   RPM=155.6354   CDF=0.0000
		Vel=41.0106   RPM=155.8119   CDF=0.0000
		Vel=40.9668   RPM=155.9869   CDF=0.0000
		Vel=40.9230   RPM=156.1600   CDF=0.0000
		Vel=40.8792   RPM=156.3304   CDF=0.0000
		Vel=40.8355   RPM=156.4976   CDF=0.0000
		Vel=40.7918   RPM=156.6611   CDF=0.0000
		Vel=40.7481   RPM=156.8205   CDF=0.0000
		Vel=40.7044   RPM=156.9755   CDF=0.0000
		Vel=40.6607   RPM=157.1256   CDF=0.0000
		Vel=40.6171   RPM=157.2708   CDF=0.0000
		Vel=40.5734   RPM=157.4109   CDF=0.0000
		Vel=40.5298   RPM=157.5456   CDF=0.0000
		Vel=40.4862   RPM=157.6750   CDF=0.0000
		Vel=40.4426   RPM=157.7990   CDF=0.0000
		Vel=40.3990   RPM=157.9176   CDF=0.0000
		Vel=40.3553   RPM=158.0309   CDF=0.0000
